decision_id,timestamp,actor_type,actor_id,entity_type,entity_id,event_sequence,journey_type,journey_instance_id,journey_state
7,2022-03-01 22:32:32,customer,CUST_000002,,,218,shopping,inst_00001,browsing
14,2022-03-01 11:11:23,customer,CUST_000005,,,225,shopping,inst_00004,browsing
19,2022-03-01 21:34:10,customer,CUST_000006,,,230,shopping,inst_00005,browsing
21,2022-03-01 21:37:10,customer,CUST_000006,,,232,shopping,inst_00005,browsing
23,2022-03-01 21:43:33,customer,CUST_000006,,,234,shopping,inst_00005,considering
33,2022-03-02 15:33:17,customer,CUST_000007,,,252,shopping,inst_00006,browsing
37,2022-03-02 11:37:14,customer,CUST_000008,,,256,shopping,inst_00007,browsing
39,2022-03-02 11:40:14,customer,CUST_000008,,,258,shopping,inst_00007,considering
43,2022-03-02 11:49:48,customer,CUST_000008,,,262,shopping,inst_00007,checkout
47,2022-03-02 16:06:23,customer,CUST_000009,,,266,shopping,inst_00008,considering
50,2022-03-02 16:12:22,customer,CUST_000009,,,269,shopping,inst_00008,checkout
53,2022-03-02 16:14:50,customer,CUST_000009,,,273,shopping,inst_00008,purchased
57,2022-03-02 15:15:03,customer,CUST_000010,,,277,shopping,inst_00009,browsing
59,2022-03-02 15:19:59,customer,CUST_000010,,,279,shopping,inst_00009,browsing
62,2022-03-02 15:22:59,customer,CUST_000010,,,282,shopping,inst_00009,browsing
65,2022-03-02 15:25:59,customer,CUST_000010,,,285,shopping,inst_00009,browsing
67,2022-03-02 15:29:39,customer,CUST_000010,,,287,shopping,inst_00009,browsing
69,2022-03-02 15:32:39,customer,CUST_000010,,,289,shopping,inst_00009,browsing
70,2022-03-02 15:35:59,customer,CUST_000010,,,290,shopping,inst_00009,considering
74,2022-03-02 10:14:31,customer,CUST_000011,,,294,shopping,inst_00010,browsing
79,2022-03-02 09:58:54,customer,CUST_000013,,,299,shopping,inst_00012,browsing
90,2022-03-03 07:12:29,customer,CUST_000016,,,313,shopping,inst_00015,browsing
93,2022-03-03 07:15:29,customer,CUST_000016,,,316,shopping,inst_00015,browsing
96,2022-03-03 07:19:18,customer,CUST_000016,,,319,shopping,inst_00015,browsing
99,2022-03-03 07:25:02,customer,CUST_000016,,,322,shopping,inst_00015,browsing
102,2022-03-03 08:07:44,customer,CUST_000017,,,325,shopping,inst_00016,browsing
104,2022-03-03 08:10:44,customer,CUST_000017,,,327,shopping,inst_00016,considering
117,2022-03-04 10:46:56,customer,CUST_000018,,,349,shopping,inst_00017,browsing
122,2022-03-04 13:30:38,customer,CUST_000021,,,354,shopping,inst_00020,considering
124,2022-03-04 18:57:27,customer,CUST_000022,,,356,shopping,inst_00021,browsing
126,2022-03-04 19:07:23,customer,CUST_000022,,,358,shopping,inst_00021,considering
129,2022-03-04 19:23:05,customer,CUST_000023,,,361,shopping,inst_00022,browsing
131,2022-03-04 19:26:05,customer,CUST_000023,,,363,shopping,inst_00022,browsing
133,2022-03-04 19:29:05,customer,CUST_000023,,,365,shopping,inst_00022,considering
135,2022-03-04 14:13:53,customer,CUST_000024,,,367,shopping,inst_00023,browsing
137,2022-03-04 14:16:53,customer,CUST_000024,,,369,shopping,inst_00023,browsing
142,2022-03-04 12:03:47,customer,CUST_000026,,,374,shopping,inst_00025,browsing
152,2022-03-05 09:28:01,customer,CUST_000028,,,389,shopping,inst_00027,browsing
155,2022-03-05 18:16:30,customer,CUST_000029,,,392,shopping,inst_00028,browsing
159,2022-03-05 16:29:51,customer,CUST_000030,,,396,shopping,inst_00029,browsing
162,2022-03-05 16:32:51,customer,CUST_000030,,,399,shopping,inst_00029,browsing
165,2022-03-05 16:35:51,customer,CUST_000030,,,402,shopping,inst_00029,browsing
182,2022-03-06 20:46:06,customer,CUST_000036,,,425,shopping,inst_00035,browsing
184,2022-03-06 20:49:06,customer,CUST_000036,,,427,shopping,inst_00035,browsing
187,2022-03-06 20:52:06,customer,CUST_000036,,,430,shopping,inst_00035,browsing
192,2022-03-06 19:57:52,customer,CUST_000037,,,435,shopping,inst_00036,browsing
195,2022-03-06 20:00:52,customer,CUST_000037,,,438,shopping,inst_00036,browsing
198,2022-03-06 20:03:56,customer,CUST_000037,,,441,shopping,inst_00036,browsing
200,2022-03-06 20:06:56,customer,CUST_000037,,,443,shopping,inst_00036,browsing
203,2022-03-06 20:09:56,customer,CUST_000037,,,446,shopping,inst_00036,browsing
221,2022-03-07 20:01:30,customer,CUST_000038,,,478,shopping,inst_00037,considering
226,2022-03-07 20:29:21,customer,CUST_000039,,,483,shopping,inst_00038,browsing
229,2022-03-07 21:04:45,customer,CUST_000039,,,486,shopping,inst_00038,considering
237,2022-03-07 09:57:23,customer,CUST_000042,,,494,shopping,inst_00041,browsing
239,2022-03-07 18:18:53,customer,CUST_000043,,,496,shopping,inst_00042,browsing
241,2022-03-07 18:21:53,customer,CUST_000043,,,498,shopping,inst_00042,considering
246,2022-03-07 22:11:19,customer,CUST_000044,,,503,shopping,inst_00043,browsing
248,2022-03-07 22:15:40,customer,CUST_000044,,,505,shopping,inst_00043,considering
252,2022-03-07 22:20:40,customer,CUST_000044,,,509,shopping,inst_00043,checkout
255,2022-03-07 22:23:06,customer,CUST_000044,,,513,shopping,inst_00043,purchased
259,2022-03-07 10:59:14,customer,CUST_000045,,,517,shopping,inst_00044,browsing
262,2022-03-07 10:07:00,customer,CUST_000046,,,520,shopping,inst_00045,considering
265,2022-03-07 19:09:22,customer,CUST_000047,,,523,shopping,inst_00046,browsing
266,2022-03-07 19:13:08,customer,CUST_000047,,,524,shopping,inst_00046,browsing
268,2022-03-07 19:16:08,customer,CUST_000047,,,526,shopping,inst_00046,browsing
271,2022-03-07 09:10:23,customer,CUST_000048,,,529,shopping,inst_00047,browsing
275,2022-03-07 20:12:46,customer,CUST_000049,,,533,shopping,inst_00048,browsing
277,2022-03-07 20:16:16,customer,CUST_000049,,,535,shopping,inst_00048,browsing
278,2022-03-07 20:19:16,customer,CUST_000049,,,536,shopping,inst_00048,browsing
282,2022-03-07 11:27:22,customer,CUST_000050,,,540,shopping,inst_00049,browsing
285,2022-03-07 11:30:22,customer,CUST_000050,,,543,shopping,inst_00049,browsing
288,2022-03-07 20:15:40,customer,CUST_000051,,,546,shopping,inst_00050,browsing
289,2022-03-07 20:18:40,customer,CUST_000051,,,547,shopping,inst_00050,browsing
291,2022-03-07 20:23:36,customer,CUST_000051,,,549,shopping,inst_00050,browsing
293,2022-03-07 20:36:15,customer,CUST_000051,,,551,shopping,inst_00050,considering
301,2022-03-08 17:08:08,customer,CUST_000052,,,564,shopping,inst_00051,browsing
306,2022-03-08 18:28:11,customer,CUST_000053,,,569,shopping,inst_00052,browsing
309,2022-03-08 18:31:40,customer,CUST_000053,,,572,shopping,inst_00052,browsing
312,2022-03-08 18:34:40,customer,CUST_000053,,,575,shopping,inst_00052,browsing
314,2022-03-08 18:39:11,customer,CUST_000053,,,577,shopping,inst_00052,considering
318,2022-03-08 19:12:09,customer,CUST_000053,,,581,shopping,inst_00052,checkout
324,2022-03-08 19:14:09,customer,CUST_000053,,,588,shopping,inst_00052,purchased
330,2022-03-08 13:35:20,customer,CUST_000055,,,594,shopping,inst_00054,considering
334,2022-03-08 09:41:15,customer,CUST_000056,,,598,shopping,inst_00055,browsing
337,2022-03-08 09:44:32,customer,CUST_000056,,,601,shopping,inst_00055,considering
341,2022-03-09 19:46:14,customer,CUST_000059,,,608,shopping,inst_00058,considering
344,2022-03-09 20:00:13,customer,CUST_000059,,,611,shopping,inst_00058,checkout
346,2022-03-09 20:02:13,customer,CUST_000059,,,613,shopping,inst_00058,purchased
356,2022-03-10 10:18:03,customer,CUST_000061,,,629,shopping,inst_00060,browsing
359,2022-03-10 07:44:49,customer,CUST_000062,,,632,shopping,inst_00061,considering
365,2022-03-10 11:55:59,customer,CUST_000065,,,638,shopping,inst_00064,considering
373,2022-03-11 17:46:11,customer,CUST_000067,,,649,shopping,inst_00066,browsing
376,2022-03-11 17:49:11,customer,CUST_000067,,,652,shopping,inst_00066,browsing
378,2022-03-11 17:52:11,customer,CUST_000067,,,654,shopping,inst_00066,browsing
381,2022-03-11 17:19:19,customer,CUST_000068,,,657,shopping,inst_00067,browsing
388,2022-03-12 08:21:45,customer,CUST_000069,,,669,shopping,inst_00068,browsing
391,2022-03-12 13:44:31,customer,CUST_000070,,,672,shopping,inst_00069,browsing
394,2022-03-12 11:39:25,customer,CUST_000071,,,675,shopping,inst_00070,browsing
396,2022-03-12 11:42:25,customer,CUST_000071,,,677,shopping,inst_00070,browsing
398,2022-03-12 11:45:57,customer,CUST_000071,,,679,shopping,inst_00070,considering
404,2022-03-12 17:54:40,customer,CUST_000072,,,685,shopping,inst_00071,considering
405,2022-03-12 18:03:16,customer,CUST_000072,,,686,shopping,inst_00071,checkout
408,2022-03-12 18:05:16,customer,CUST_000072,,,690,shopping,inst_00071,purchased
412,2022-03-12 12:11:55,customer,CUST_000073,,,694,shopping,inst_00072,considering
413,2022-03-12 12:16:55,customer,CUST_000073,,,695,shopping,inst_00072,checkout
423,2022-03-13 18:05:25,customer,CUST_000074,,,711,shopping,inst_00073,considering
425,2022-03-13 14:39:10,customer,CUST_000075,,,713,shopping,inst_00074,browsing
430,2022-03-13 18:21:02,customer,CUST_000076,,,718,shopping,inst_00075,browsing
433,2022-03-13 18:24:02,customer,CUST_000076,,,721,shopping,inst_00075,browsing
435,2022-03-13 18:27:02,customer,CUST_000076,,,723,shopping,inst_00075,browsing
437,2022-03-13 19:17:54,customer,CUST_000076,,,725,shopping,inst_00075,considering
449,2022-03-14 21:00:37,customer,CUST_000080,,,741,shopping,inst_00079,browsing
451,2022-03-14 21:03:37,customer,CUST_000080,,,743,shopping,inst_00079,browsing
453,2022-03-14 21:08:10,customer,CUST_000080,,,745,shopping,inst_00079,considering
459,2022-03-14 06:45:10,customer,CUST_000081,,,751,shopping,inst_00080,browsing
465,2022-03-14 11:38:35,customer,CUST_000083,,,757,shopping,inst_00082,browsing
475,2022-03-15 17:38:26,customer,CUST_000085,,,772,shopping,inst_00084,browsing
477,2022-03-15 17:41:26,customer,CUST_000085,,,774,shopping,inst_00084,browsing
479,2022-03-15 17:48:06,customer,CUST_000085,,,776,shopping,inst_00084,browsing
482,2022-03-15 17:52:20,customer,CUST_000085,,,779,shopping,inst_00084,browsing
484,2022-03-15 17:58:19,customer,CUST_000085,,,781,shopping,inst_00084,considering
487,2022-03-15 18:47:52,customer,CUST_000087,,,784,shopping,inst_00086,considering
496,2022-03-16 10:44:27,customer,CUST_000089,,,798,shopping,inst_00088,browsing
499,2022-03-16 18:07:14,customer,CUST_000090,,,801,shopping,inst_00089,browsing
504,2022-03-16 13:16:09,customer,CUST_000091,,,806,shopping,inst_00090,browsing
507,2022-03-16 13:21:09,customer,CUST_000091,,,809,shopping,inst_00090,considering
511,2022-03-16 07:30:11,customer,CUST_000092,,,813,shopping,inst_00091,browsing
512,2022-03-16 07:33:11,customer,CUST_000092,,,814,shopping,inst_00091,browsing
514,2022-03-16 07:37:40,customer,CUST_000092,,,816,shopping,inst_00091,considering
517,2022-03-16 14:27:21,customer,CUST_000093,,,819,shopping,inst_00092,browsing
519,2022-03-16 14:30:21,customer,CUST_000093,,,821,shopping,inst_00092,browsing
527,2022-03-17 14:01:42,customer,CUST_000044,,,833,shopping,inst_00097,browsing
531,2022-03-17 06:27:50,customer,CUST_000095,,,837,shopping,inst_00094,browsing
533,2022-03-17 06:32:01,customer,CUST_000095,,,839,shopping,inst_00094,browsing
